site_id,ci,type,sector_id,sector_id_new,prb_dl_cell,prb_ul_cell,delta_prb_dl,delta_prb_ul
APR054,31,MAC,3,3,36.75138889,16.07368421,15.755,22
APR055,11,MAC,1,1,83.96493056,33.24,12.28173611,31.45533333
APR053,31,MAC,3,3,17.63298611,15.90491228,4.285013889,1.638245614
APR049,11,MAC,1,1,37.96875,22.39333333,29.07541667,11.214
APR049,22,MAC,2,2,53.46333333,32.824,8.576875,7.107859649
APR054,11,MAC,1,1,50.346875,42.42561404,6.132458333,25.536
APR049,21,MAC,2,2,44.88645833,25.71614035,8.576875,7.107859649
APR049,31,MAC,3,3,87.64270833,52.60140351,9.120708333,12.32607018
APR049,32,MAC,3,3,78.522,40.27533333,9.120708333,12.32607018
APR051,11,MAC,1,1,54.04583333,33.23192982,32.3915,19.50473684
APR054,12,MAC,1,1,56.47933333,38.678,6.132458333,25.536
APR051,12,MAC,1,1,86.43733333,52.73666667,32.3915,19.50473684
APR051,22,MAC,2,2,71.70666667,32.856,61.91666667,22.84733333
APR051,23,MAC,2,2,9.79,10.00866667,61.91666667,22.84733333
APR054,13,MAC,1,1,54.49466667,64.214,6.132458333,25.536
APR051,21,MAC,2,2,39.12118056,20.55192982,61.91666667,22.84733333
APR051,31,MAC,3,3,87.74618056,48.68210526,0.286847222,0.65077193
APR051,32,MAC,3,3,87.45933333,48.03133333,0.286847222,0.65077193
APR055,13,MAC,1,1,86.27533333,41.72866667,12.28173611,31.45533333
APR054,22,MAC,2,2,59.39266667,73.02866667,15.93754167,40.30375439
APR054,21,MAC,2,2,75.33020833,32.72491228,15.93754167,40.30375439
APR054,23,MAC,2,2,62.929,35.458,15.93754167,40.30375439
APR054,33,MAC,3,3,25.33566667,11.328,15.755,22
APR054,32,MAC,3,3,41.09066667,33.328,15.755,22
APR051,42,MAC,7,7,62.66866667,35.744,46.74436111,25.87768421
APR051,41,MAC,7,7,15.92430556,9.866315789,46.74436111,25.87768421
APR053,13,MAC,1,1,66.70333333,35.70666667,31.87972222,9.880350877
APR053,11,MAC,1,1,34.82361111,25.82631579,31.87972222,9.880350877
APR001,11,MAC,1,1,2.021180556,4.593684211,14.50148611,6.861649123
APR001,12,MAC,1,1,16.52266667,11.45533333,14.50148611,6.861649123
APR001,22,MAC,2,2,97.98933333,64.372,79.79533333,8.454807018
APR001,21,MAC,2,2,85.90277778,55.91719298,79.79533333,8.454807018
APR001,25,MAC,2,2,18.194,40.1,79.79533333,34.794
APR001,24,MAC,2,2,45.924,74.894,79.79533333,34.794
APR001,31,MAC,3,3,52.14340278,29.3877193,22.03526389,15.8342807
APR001,32,MAC,3,3,74.17866667,45.222,22.03526389,15.8342807
APR001,42,MAC,7,7,67.91333333,34.6,10.956,5.784666667
APR001,43,MAC,7,7,56.95733333,40.38466667,10.956,5.784666667
APR002,12,MAC,1,1,97.27533333,73.12533333,10.68679167,20.5842807
APR002,11,MAC,1,1,86.58854167,52.54105263,10.68679167,20.5842807
APR002,22,MAC,2,2,85.23933333,35.256,17.89836111,0.556982456
APR002,21,MAC,2,2,67.34097222,35.81298246,17.89836111,0.556982456
APR002,32,MAC,3,3,58.95,37.234,0.165972222,1.710842105
APR002,31,MAC,3,3,59.11597222,35.52315789,0.165972222,1.710842105
APR004,11,MAC,1,1,60.60798611,24.87333333,0,0
APR004,21,MAC,2,2,58.99965278,22.60175439,0,0
APR004,31,MAC,3,3,94.18576389,48.39263158,0,0
APR005,11,MAC,1,1,37.62743056,23.08877193,28.23256944,17.14922807
APR005,12,MAC,1,1,65.86,40.238,28.23256944,17.14922807
APR005,23,MAC,2,2,85.222,44.776,7.488,19.83933333
APR005,21,MAC,2,2,90.25729167,61.83964912,7.488,19.83933333
APR005,22,MAC,2,2,92.71,64.61533333,7.488,19.83933333
APR005,32,MAC,3,3,93.58533333,56.276,21.984,31.28617544
APR005,31,MAC,3,3,74.69722222,24.98982456,21.984,31.28617544
APR005,33,MAC,3,3,71.60133333,30.92033333,21.984,31.28617544
APR006,15,MAC,1,1,61.06133333,81.80133333,41.88166667,26.93033333
APR006,11,MAC,1,1,62.11527778,30.94,41.88166667,27.10666667
APR006,12,MAC,1,1,96.912,58.04666667,41.88166667,27.10666667
APR006,13,MAC,1,1,75.22766667,34.579,41.88166667,27.10666667
APR006,14,MAC,1,1,55.03033333,54.871,41.88166667,26.93033333
APR006,21,MAC,2,2,92.73819444,59.26947368,45.48566667,4.003
APR006,25,MAC,2,2,48.97033333,65.81766667,45.48566667,8.009666667
APR006,24,MAC,2,2,52.56333333,73.82733333,45.48566667,8.009666667
APR006,23,MAC,2,2,94.456,57.047,45.48566667,4.003
APR006,22,MAC,2,2,88.31666667,61.05,45.48566667,4.003
APR006,33,MAC,3,3,63.741,34.95233333,23.12666667,12.82129825
APR006,32,MAC,3,3,84.09133333,46.33533333,23.12666667,12.82129825
APR006,35,MAC,3,3,73.06166667,86.00166667,23.12666667,19.73166667
APR006,31,MAC,3,3,79.96215278,33.51403509,23.12666667,12.82129825
APR006,34,MAC,3,3,60.96466667,66.27,23.12666667,19.73166667
APR008,11,MAC,1,1,46.52638889,18.12701754,24.02905556,7.371017544
